Angle,Horizontal Length of Arm,Extension Length
13.0,25.237363199446026,0.0
18.0,32.13938048432696,6.0
23.0,35.35533905932737,6.0
28.0,38.302222155948904,6.0
33.0,40.95760221444959,6.0
38.0,43.30127018922193,6.0
43.0,45.31538935183249,6.0
48.0,45.1052457977236,4.0
53.0,46.36443966187528,4.0
58.0,47.27077214458598,4.0
63.0,47.81734550840379,4.0
68.0,48.0,4.0
73.0,51.30402695172489,7.5
78.0,50.71759928012872,7.5
83.0,49.74518005388702,7.5
88.0,48.39416997047429,7.5
93.0,46.67485103238748,7.5
98.0,44.600308294898596,7.5
103.0,42.18633028088309,7.5
108.0,39.45128882062737,7.5
113.0,36.4159992311072,7.5
118.0,35.19262163033804,10.75
123.0,31.403309890219766,10.75
128.0,27.374999999999996,10.75
133.0,23.138349830303298,10.75
138.0,18.72560284708037,10.75
