Angle,Horizontal Length of Arm,Extension Length
13.0,31.40330989021977,10.75
18.0,28.282654826207725,0.0
23.0,31.112698372208087,0.0
28.0,33.70595549723503,0.0
33.0,36.04268994871564,0.0
38.0,38.1051177665153,0.0
43.0,39.8775426296126,0.0
48.0,41.34647531457997,0.0
53.0,42.500736356719,0.0
58.0,43.331541132537154,0.0
63.0,43.8325667160368,0.0
68.0,44.0,0.0
73.0,43.8325667160368,0.0
78.0,43.331541132537154,0.0
83.0,42.500736356719,0.0
88.0,41.34647531457997,0.0
93.0,39.877542629612606,0.0
98.0,38.105117766515306,0.0
103.0,36.04268994871565,0.0
108.0,33.70595549723503,0.0
113.0,31.112698372208094,0.0
118.0,35.19262163033804,10.75
123.0,31.403309890219766,10.75
128.0,27.374999999999996,10.75
133.0,23.138349830303298,10.75
138.0,18.72560284708037,10.75
